city,quarter,hpi_assessment,composite_price_rs_sqft,price_le_60sqm_rs_sqft,price_60_110sqm_rs_sqft,price_gt_110sqm_rs_sqft,source,source_url,series,access_period
Ahmedabad,Dec 2025,105.07,7761,7053,8254,8979,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ahmedabad,Jun 2025,101.85,7524,6913,7953,8558,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ahmedabad,Jun 2026,109.9,8118,7308,8670,9567,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ahmedabad,Mar 2026,107.31,7926,7146,8463,9302,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ahmedabad,Sep 2025,103.22,7624,6974,8100,8645,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bengaluru,Dec 2025,108.47,11200,11284,10302,12902,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bengaluru,Jun 2025,99.88,10313,11039,9426,11806,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bengaluru,Jun 2026,121.32,12526,12359,11449,14650,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bengaluru,Mar 2026,113.13,11680,11357,10679,13702,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bengaluru,Sep 2025,104.22,10760,11099,9911,12295,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bhiwadi,Dec 2025,100.17,3370,3032,3643,3251,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bhiwadi,Jun 2025,101.86,3427,3253,3594,3110,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bhiwadi,Jun 2026,102.57,3450,3210,3628,3533,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bhiwadi,Mar 2026,100.32,3375,3033,3652,3246,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bhiwadi,Sep 2025,101.56,3416,3113,3682,3125,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bhopal,Dec 2025,99.22,4631,4309,4765,5154,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bhopal,Jun 2025,100.22,4678,4249,4939,5048,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bhopal,Jun 2026,100.76,4703,4303,4911,5189,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bhopal,Mar 2026,99.42,4640,4291,4813,5100,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bhopal,Sep 2025,99.13,4627,4278,4826,4979,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bhubaneswar,Dec 2025,107.82,9355,9056,9878,8745,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bhubaneswar,Jun 2025,102.68,8909,8889,9549,8063,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bhubaneswar,Jun 2026,106.86,9272,8765,9944,8521,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bhubaneswar,Mar 2026,105.98,9195,8437,9768,8648,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bhubaneswar,Sep 2025,105.17,9125,8837,9631,8535,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bidhan Nagar (Excluding Rajarhat),Dec 2025,101.35,6078,5418,6316,7832,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bidhan Nagar (Excluding Rajarhat),Jun 2025,100.69,6039,5319,6340,7689,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bidhan Nagar (Excluding Rajarhat),Jun 2026,105.53,6329,5785,6398,8578,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bidhan Nagar (Excluding Rajarhat),Mar 2026,102.8,6165,5536,6319,8298,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Bidhan Nagar (Excluding Rajarhat),Sep 2025,98.03,5879,5290,6126,7236,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Chakan,Dec 2025,104.02,5606,5742,4722,4693,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Chakan,Jun 2025,101.63,5477,5602,4706,4121,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Chakan,Jun 2026,103.63,5585,5674,4982,5280,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Chakan,Mar 2026,103.43,5574,5686,4827,5098,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Chakan,Sep 2025,103.24,5564,5701,4663,4753,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Chandigarh (Tricity),Dec 2025,106.18,7447,7715,6753,8108,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Chandigarh (Tricity),Jun 2025,102.47,7187,7398,6588,7813,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Chandigarh (Tricity),Jun 2026,110.94,7781,8127,7300,7778,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Chandigarh (Tricity),Mar 2026,108.58,7615,7908,6994,8053,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Chandigarh (Tricity),Sep 2025,102.8,7210,7503,6545,7739,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Chennai,Dec 2025,106.46,10032,9120,9732,11700,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Chennai,Jun 2025,101.38,9553,8455,9443,11028,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Chennai,Jun 2026,112.34,10586,9725,10196,12391,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Chennai,Mar 2026,108.69,10242,9417,9857,11997,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Chennai,Sep 2025,102.87,9694,8694,9508,11218,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Coimbatore,Dec 2025,100.41,7624,7837,7363,7819,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Coimbatore,Jun 2025,100.12,7602,8003,6837,8301,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Coimbatore,Jun 2026,101.37,7697,7831,7605,7732,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Coimbatore,Mar 2026,100.36,7620,8115,7574,7400,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Coimbatore,Sep 2025,100.38,7622,8057,6929,8215,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Dehradun,Dec 2025,102.79,6965,7268,7143,6481,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Dehradun,Jun 2025,99.82,6764,7236,6797,6322,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Dehradun,Jun 2026,112.21,7604,7706,7656,7449,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Dehradun,Mar 2026,107.13,7259,7550,7403,6828,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Dehradun,Sep 2025,100.51,6811,7226,6980,6243,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Delhi,Dec 2025,95.72,9404,7715,11011,17556,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Delhi,Jun 2025,97.55,9584,7694,11608,17835,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Delhi,Jun 2026,97.55,9584,7964,11090,17529,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Delhi,Mar 2026,95.58,9390,7745,10915,17487,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Delhi,Sep 2025,96.5,9481,7686,11353,17510,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Faridabad,Dec 2025,109.13,7551,6943,7681,8287,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Faridabad,Jun 2025,103.06,7132,6378,7302,8029,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Faridabad,Jun 2026,128.22,8873,8225,9063,9587,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Faridabad,Mar 2026,119.7,8283,7721,8347,9035,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Faridabad,Sep 2025,104.51,7231,6544,7398,8035,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Gandhinagar,Dec 2025,100.69,7651,7211,7623,9542,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Gandhinagar,Jun 2025,98.55,7488,7100,7445,9259,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Gandhinagar,Jun 2026,103.86,7892,7437,7889,9712,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Gandhinagar,Mar 2026,102.27,7771,7311,7730,9808,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Gandhinagar,Sep 2025,99.33,7547,7123,7529,9324,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ghaziabad,Dec 2025,108.77,7727,6570,8258,10088,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ghaziabad,Jun 2025,102.07,7251,6438,7735,8565,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ghaziabad,Jun 2026,114.29,8119,6913,8550,10959,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ghaziabad,Mar 2026,111.37,7912,6691,8428,10539,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ghaziabad,Sep 2025,105.13,7468,6458,8008,9295,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Greater Noida,Dec 2025,114.15,10213,7836,10890,11551,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Greater Noida,Jun 2025,103.96,9301,7241,9816,10657,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Greater Noida,Jun 2026,123.5,11049,8120,11719,13142,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Greater Noida,Mar 2026,119.52,10693,8017,11352,12481,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Greater Noida,Sep 2025,109.48,9795,7686,10427,10897,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Gurugram,Dec 2025,114.45,17686,12926,19596,18478,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Gurugram,Jun 2025,104.93,16216,11939,17484,17249,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Gurugram,Jun 2026,122.11,18869,13416,21515,19445,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Gurugram,Mar 2026,117.37,18138,13165,20156,18947,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Gurugram,Sep 2025,109.28,16887,12477,18485,17743,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Guwahati,Dec 2025,100.22,6247,6706,6135,6165,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Guwahati,Jun 2025,99.42,6197,6444,6168,6025,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Guwahati,Jun 2026,104.33,6503,6911,6398,6452,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Guwahati,Mar 2026,102.03,6360,6789,6272,6212,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Guwahati,Sep 2025,98.64,6148,6489,6100,5944,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Howrah,Dec 2025,100.51,4432,4320,4423,5370,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Howrah,Jun 2025,97.39,4294,4200,4241,5328,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Howrah,Jun 2026,104.01,4586,4411,4778,4991,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Howrah,Mar 2026,101.64,4482,4367,4510,5260,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Howrah,Sep 2025,99.29,4378,4231,4364,5630,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Hyderabad,Dec 2025,102.21,8303,6347,7507,9756,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Hyderabad,Jun 2025,99.91,8116,6298,7437,9378,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Hyderabad,Jun 2026,105.11,8538,6499,7667,10112,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Hyderabad,Mar 2026,103.33,8393,6449,7533,9938,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Hyderabad,Sep 2025,100.82,8190,6355,7479,9500,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Indore,Dec 2025,100.24,4767,4215,5207,6012,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Indore,Jun 2025,100.15,4763,4300,5121,5846,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Indore,Jun 2026,105.92,5037,4490,5449,6362,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Indore,Mar 2026,103.24,4909,4384,5296,6215,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Indore,Sep 2025,98.79,4698,4220,5055,5863,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Jaipur,Dec 2025,102.45,5164,4578,5436,5466,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
