mreid_id,price,area,location,no_of_bedrooms,resale,maintenancestaff,gymnasium,swimmingpool,landscapedgardens,joggingtrack,rainwaterharvesting,indoorgames,shoppingmall,intercom,sportsfacility,atm,clubhouse,school,24x7security,powerbackup,carparking,staffquarter,cafeteria,multipurposeroom,hospital,washingmachine,gasconnection,ac,wifi,children_splayarea,liftavailable,bed,vaastucompliant,microwave,golfcourse,tv,diningtable,sofa,wardrobe,refrigerator,source_city,source_file,amenity_count,amenity_coverage
MREID_0000001,30000000,3340.0,jp nagar phase 1,4.0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,14,34
MREID_0000002,7888000,1045.0,dasarahalli on tumkur road,2.0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,15,34
MREID_0000003,4866000,1179.0,kannur on thanisandra main road,2.0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,9,34
MREID_0000004,8358000,1675.0,doddanekundi,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,3,34
MREID_0000005,6845000,1670.0,kengeri,3.0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,16,34
MREID_0000006,6797000,1220.0,horamavu,2.0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,15,34
MREID_0000007,20000000,2502.0,thanisandra,4.0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,13,34
MREID_0000008,7105000,1438.0,ramamurthy nagar,3.0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,11,34
MREID_0000009,8405000,1405.0,whitefield hope farm junction,3.0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,11,34
MREID_0000010,3506000,660.0,electronic city phase 1,1.0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,16,34
MREID_0000011,7700000,1362.0,yelahanka,2.0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,15,34
MREID_0000012,9369000,1735.0,anjanapura,3.0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,16,34
MREID_0000013,8716000,1575.0,jalahalli,3.0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,11,34
MREID_0000014,5394000,1120.0,kasavanahalli,2.0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,11,34
MREID_0000015,6367000,1415.0,whitefield hope farm junction,3.0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,9,34
MREID_0000016,5080000,1270.0,bommasandra,2.0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,11,34
MREID_0000017,7209999,1311.0,bellandur,3.0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,15,34
MREID_0000018,5700000,1210.0,rr nagar,2.0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,13,34
MREID_0000019,12400000,1705.0,whitefield hope farm junction,3.0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,11,34
MREID_0000020,4900000,1187.0,begur,2.0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,15,34
MREID_0000021,9630000,2293.0,kannur on thanisandra main road,3.0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,16,34
MREID_0000022,9458000,1726.0,hosa road,3.0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,18,34
MREID_0000023,23700000,2470.0,sahakar nagar,4.0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,19,34
MREID_0000024,7363000,1570.0,kadugodi,3.0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,9,34
MREID_0000025,5489000,1120.0,jakkur,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,0,34
MREID_0000026,4216000,1506.0,jigani,3.0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,11,34
MREID_0000027,4368000,1040.0,krishnarajapura,2.0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,9,34
MREID_0000028,7600000,1150.0,brookefield,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,0,34
MREID_0000029,4545000,1045.0,horamavu,2.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,8,34
MREID_0000030,23100000,2480.0,banashankari,3.0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,bangalore,Bangalore.csv,15,34
MREID_0000031,8000000,1160.0,rr nagar,2.0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,17,34
MREID_0000032,4514000,1143.0,rr nagar,2.0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,17,34
MREID_0000033,5460000,1300.0,rr nagar,2.0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,18,34
MREID_0000034,4414000,966.0,nelamangala,2.0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,8,34
MREID_0000035,8868000,1245.0,begur,2.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,5,34
MREID_0000036,6133000,1275.0,ramamurthy nagar,2.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,7,34
MREID_0000037,3038000,1085.0,attibele,2.0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,11,34
MREID_0000038,7100000,1286.0,nelamangala,3.0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,11,34
MREID_0000039,7506999,1155.0,banaswadi,2.0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,bangalore,Bangalore.csv,12,34
MREID_0000040,6520000,1304.0,whitefield hope farm junction,3.0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,12,34
MREID_0000041,6389000,1120.0,kodigehalli,2.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,6,34
MREID_0000042,11700000,2017.0,itpl,3.0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,13,34
MREID_0000043,5600000,1340.0,uttarahalli hobli,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,bangalore,Bangalore.csv,11,34
MREID_0000044,4562000,1304.0,electronic city phase 1,3.0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,8,34
MREID_0000045,2951000,649.0,ramamurthy nagar,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,3,34
MREID_0000046,4264000,1108.0,krishnarajapura,2.0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,15,34
MREID_0000047,6698000,1675.0,krishnarajapura,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,4,34
MREID_0000048,8100000,718.0,chikkagubbi on hennur main road,2.0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,13,34
MREID_0000049,4500000,1075.0,kasavanahalli,2.0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,14,34
MREID_0000050,4928000,1120.0,varthur,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,1,34
MREID_0000051,6100000,1350.0,vidyaranyapura,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,2,34
MREID_0000052,6151000,1404.0,electronic city phase 2,2.0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,14,34
MREID_0000053,5426000,1080.0,begur,2.0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,11,34
MREID_0000054,13000000,1800.0,j. p. nagar,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,1,34
MREID_0000055,4850000,1060.0,k. chudahalli,2.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,7,34
MREID_0000056,4604000,1540.0,narayanaghatta,3.0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,13,34
MREID_0000057,3607000,1110.0,anekal city,3.0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,13,34
MREID_0000058,16500000,1645.0,sahakar nagar,3.0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,18,34
MREID_0000059,4840000,1345.0,sarjapur,3.0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,13,34
MREID_0000060,25800000,1866.0,koramangala,3.0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,14,34
MREID_0000061,51000000,3500.0,hebbal,3.0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,12,34
MREID_0000062,4809000,1145.0,electronic city phase 1,2.0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,11,34
MREID_0000063,5070000,935.0,budigere cross,2.0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,bangalore,Bangalore.csv,15,34
MREID_0000064,10500000,1455.0,bommanahalli,3.0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,bangalore,Bangalore.csv,22,34
MREID_0000065,6850000,1305.0,uttarahalli hobli,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,6,34
MREID_0000066,4580000,1145.0,varthur,2.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,bangalore,Bangalore.csv,5,34
