City_ID,City_Name,State_Name,Tier,Population,Area_sq_km,Population_Density,Latitude,Longitude,Average_Property_Price_sqft,Average_Rent_sqft,Rental_Yield,GDP_USD_Billion,IT_Hub,Financial_Hub,Manufacturing_Hub,Tourist_City,Metro_Available,Airport_Available,Smart_City,AQI_Index,Crime_Index,Livability_Score,Infrastructure_Score,Investment_Score,Price_Growth_5Y,Annual_Rainfall_mm,Avg_Temperature_C,Major_Industry,Hospitals_Count,Schools_Count,Shopping_Malls_Count,Universities_Count,Metro_Stations,EV_Charging_Stations,Internet_Coverage_Percent,Green_Cover_Percent,Last_Updated
C0001,Visakhapatnam,Andhra Pradesh,Tier 2,939221,640.66,16549,14.473111,89.357665,24674,104,6.91,27.86,No,Yes,Yes,Yes,Yes,Yes,Yes,307,35,96,99,89,4.65,3779,24.7,IT,408,376,91,55,87,289,74.65,62.43,2025-12-31
C0002,Vijayawada,Andhra Pradesh,Tier 3,3529607,115.12,6838,18.410402,77.974716,11167,113,2.24,142.96,Yes,No,Yes,No,No,Yes,Yes,43,39,73,60,69,14.93,3213,16.9,Textile,103,808,47,27,171,278,90.98,46.01,2025-12-31
C0003,Guntur,Andhra Pradesh,Tier 2,20539044,554.33,16543,12.738672,79.004208,34924,91,5.78,68.86,No,Yes,Yes,Yes,No,No,No,53,37,91,75,68,10.08,3341,32.1,Healthcare,93,592,19,32,143,556,77.86,40.08,2025-12-31
C0004,Tirupati,Andhra Pradesh,Tier 3,12246585,217.65,9565,22.776263,70.636373,4043,120,2.6,194.88,No,Yes,No,No,No,No,Yes,78,78,72,96,76,-2.43,3661,14.0,IT,389,589,66,23,129,113,96.03,22.91,2025-12-31
C0005,Kakinada,Andhra Pradesh,Tier 2,5228434,342.87,11087,23.641992,90.580168,19878,10,5.29,151.98,Yes,No,No,Yes,Yes,Yes,Yes,63,72,59,89,63,-2.05,3993,33.7,Manufacturing,155,1130,113,78,108,221,97.77,50.32,2025-12-31
C0006,Itanagar,Arunachal Pradesh,Tier 2,10559463,363.18,24972,20.704902,83.009699,6465,41,3.24,105.47,Yes,Yes,Yes,Yes,Yes,Yes,Yes,36,52,59,87,70,1.4,4076,15.4,Manufacturing,390,1018,33,61,104,199,72.82,44.54,2025-12-31
C0007,Naharlagun,Arunachal Pradesh,Tier 3,14312940,372.99,4050,27.527572,96.540791,5724,17,4.21,105.84,Yes,Yes,Yes,Yes,No,Yes,No,113,45,84,70,59,5.19,902,11.3,Education,448,80,13,31,42,421,84.52,17.82,2025-12-31
C0008,Pasighat,Arunachal Pradesh,Tier 3,2067477,173.36,641,36.573956,75.690889,28192,110,4.5,131.71,No,Yes,Yes,No,Yes,Yes,Yes,180,17,58,92,85,6.57,4450,13.9,Education,61,430,10,77,17,696,95.77,29.23,2025-12-31
C0009,Guwahati,Assam,Tier 2,19525300,521.56,5872,20.157523,84.926496,19630,50,7.14,64.12,No,Yes,No,No,Yes,No,No,181,19,55,84,94,17.96,919,11.8,Agriculture,279,593,18,45,17,255,81.05,14.46,2025-12-31
C0010,Silchar,Assam,Tier 3,20624499,836.92,1012,27.368033,84.083466,33031,94,2.57,272.34,No,Yes,Yes,Yes,No,No,Yes,195,36,98,95,71,6.62,2157,32.6,IT,67,917,108,36,11,8,79.97,12.85,2025-12-31
C0011,Dibrugarh,Assam,Tier 3,5521791,640.4,28528,24.266299,71.244343,33467,98,6.97,169.59,No,Yes,No,Yes,Yes,No,No,40,55,68,98,70,10.34,2997,29.5,Mining,337,366,120,31,41,186,96.35,6.49,2025-12-31
C0012,Jorhat,Assam,Tier 3,13914801,689.81,16763,15.737366,90.833861,6042,58,6.8,266.31,Yes,Yes,No,No,No,Yes,Yes,32,34,80,76,72,14.88,2386,18.8,Education,224,1148,44,4,29,272,75.34,62.75,2025-12-31
C0013,Patna,Bihar,Tier 3,1383698,127.81,28979,18.024926,90.806417,16799,87,7.41,36.73,Yes,No,Yes,No,Yes,Yes,No,240,18,97,76,94,2.22,1120,28.0,Tourism,279,683,87,53,83,417,90.85,38.26,2025-12-31
C0014,Gaya,Bihar,Tier 2,14207837,578.59,25347,27.64222,94.181361,22669,82,3.66,170.31,Yes,No,No,Yes,No,No,No,246,66,98,68,87,5.88,1490,26.5,Tourism,283,736,13,31,172,322,76.72,16.95,2025-12-31
C0015,Muzaffarpur,Bihar,Tier 2,1650675,238.32,31638,25.726945,90.286191,17423,63,6.87,178.88,No,No,No,Yes,Yes,Yes,Yes,237,38,66,99,88,5.68,2141,32.9,Finance,253,323,104,60,170,548,99.54,40.73,2025-12-31
C0016,Bhagalpur,Bihar,Tier 3,20657200,700.16,33581,20.375482,94.298787,17111,30,6.09,147.67,No,Yes,No,No,Yes,No,No,59,46,70,72,76,2.35,760,13.5,Agriculture,216,362,92,28,16,429,82.19,37.56,2025-12-31
C0017,Raipur,Chhattisgarh,Tier 3,2189290,207.54,28034,19.294828,90.324077,33500,99,2.11,273.12,No,No,Yes,No,No,No,No,295,79,93,69,86,0.05,3670,22.1,Mining,192,878,94,22,119,135,99.32,37.05,2025-12-31
C0018,Bilaspur,Chhattisgarh,Tier 3,19960625,497.16,2276,10.434476,80.42977,30904,69,3.0,81.39,No,Yes,No,No,No,No,No,235,42,60,85,56,12.23,526,35.0,Textile,134,190,101,6,7,258,75.96,6.22,2025-12-31
C0019,Durg,Chhattisgarh,Tier 2,8104240,142.24,7996,24.355118,74.320972,25420,42,6.22,52.85,Yes,Yes,No,Yes,Yes,No,No,223,35,59,92,99,14.1,2089,12.5,Tourism,455,297,103,73,10,360,85.93,44.69,2025-12-31
C0020,Korba,Chhattisgarh,Tier 2,17077226,564.51,1329,32.637693,91.847597,5958,65,7.28,197.4,No,Yes,No,Yes,No,No,No,243,85,72,75,70,14.11,809,17.0,Healthcare,144,1001,74,79,171,393,80.06,34.66,2025-12-31
C0021,Panaji,Goa,Tier 3,6201533,434.92,23753,31.137138,77.869826,31346,86,5.86,86.37,Yes,Yes,Yes,Yes,No,No,Yes,263,72,83,56,60,1.77,3412,27.3,Tourism,359,805,62,71,135,357,82.72,49.76,2025-12-31
C0022,Margao,Goa,Tier 3,11904802,609.31,18254,16.892067,74.685603,26135,34,3.74,230.55,Yes,Yes,Yes,No,No,No,Yes,119,47,69,78,66,1.95,4475,13.2,IT,47,1183,39,17,163,775,84.68,57.36,2025-12-31
C0023,Mapusa,Goa,Tier 3,15850347,427.76,22828,13.346546,69.489925,33336,120,4.63,255.03,No,No,Yes,Yes,Yes,Yes,No,63,41,62,90,81,8.95,1948,29.4,Mining,250,956,40,76,109,317,87.0,8.61,2025-12-31
C0024,Ahmedabad,Gujarat,Tier 1,3429726,807.55,14117,26.139936,75.674738,5160,30,3.32,171.57,Yes,Yes,No,No,No,No,Yes,138,46,73,99,84,-3.36,2012,33.1,Logistics,358,455,56,15,139,235,89.36,59.5,2025-12-31
