Developer_ID,Developer_Name,Developer_Type,Headquarters_City,Headquarters_State
DEV0001,DLF Limited,National,Gurugram,Haryana
DEV0002,Godrej Properties,National,Mumbai,Maharashtra
DEV0003,Urban Builders 3,Regional,Mumbai,Maharashtra
DEV0004,Urban Builders 4,Regional,Mumbai,Maharashtra
DEV0005,Urban Builders 5,Regional,Mumbai,Maharashtra
DEV0006,Urban Builders 6,Regional,Mumbai,Maharashtra
DEV0007,Urban Builders 7,Regional,Mumbai,Maharashtra
DEV0008,Urban Builders 8,Regional,Mumbai,Maharashtra
DEV0009,Urban Builders 9,Regional,Mumbai,Maharashtra
DEV0010,Urban Builders 10,Regional,Mumbai,Maharashtra
DEV0011,Urban Builders 11,Regional,Mumbai,Maharashtra
DEV0012,Urban Builders 12,Regional,Mumbai,Maharashtra
DEV0013,Urban Builders 13,Regional,Mumbai,Maharashtra
DEV0014,Urban Builders 14,Regional,Mumbai,Maharashtra
DEV0015,Urban Builders 15,Regional,Mumbai,Maharashtra
DEV0016,Urban Builders 16,Regional,Mumbai,Maharashtra
DEV0017,Urban Builders 17,Regional,Mumbai,Maharashtra
DEV0018,Urban Builders 18,Regional,Mumbai,Maharashtra
DEV0019,Urban Builders 19,Regional,Mumbai,Maharashtra
DEV0020,Urban Builders 20,Regional,Mumbai,Maharashtra
DEV0021,Urban Builders 21,Regional,Mumbai,Maharashtra
DEV0022,Urban Builders 22,Regional,Mumbai,Maharashtra
DEV0023,Urban Builders 23,Regional,Mumbai,Maharashtra
DEV0024,Urban Builders 24,Regional,Mumbai,Maharashtra
DEV0025,Urban Builders 25,Regional,Mumbai,Maharashtra
DEV0026,Urban Builders 26,Regional,Mumbai,Maharashtra
DEV0027,Urban Builders 27,Regional,Mumbai,Maharashtra
DEV0028,Urban Builders 28,Regional,Mumbai,Maharashtra
DEV0029,Urban Builders 29,Regional,Mumbai,Maharashtra
DEV0030,Urban Builders 30,Regional,Mumbai,Maharashtra
DEV0031,Urban Builders 31,Regional,Mumbai,Maharashtra
DEV0032,Urban Builders 32,Regional,Mumbai,Maharashtra
DEV0033,Urban Builders 33,Regional,Mumbai,Maharashtra
DEV0034,Urban Builders 34,Regional,Mumbai,Maharashtra
DEV0035,Urban Builders 35,Regional,Mumbai,Maharashtra
DEV0036,Urban Builders 36,Regional,Mumbai,Maharashtra
DEV0037,Urban Builders 37,Regional,Mumbai,Maharashtra
DEV0038,Urban Builders 38,Regional,Mumbai,Maharashtra
DEV0039,Urban Builders 39,Regional,Mumbai,Maharashtra
DEV0040,Urban Builders 40,Regional,Mumbai,Maharashtra
DEV0041,Urban Builders 41,Regional,Mumbai,Maharashtra
DEV0042,Urban Builders 42,Regional,Mumbai,Maharashtra
DEV0043,Urban Builders 43,Regional,Mumbai,Maharashtra
DEV0044,Urban Builders 44,Regional,Mumbai,Maharashtra
DEV0045,Urban Builders 45,Regional,Mumbai,Maharashtra
DEV0046,Urban Builders 46,Regional,Mumbai,Maharashtra
DEV0047,Urban Builders 47,Regional,Mumbai,Maharashtra
DEV0048,Urban Builders 48,Regional,Mumbai,Maharashtra
DEV0049,Urban Builders 49,Regional,Mumbai,Maharashtra
DEV0050,Urban Builders 50,Regional,Mumbai,Maharashtra
DEV0051,Urban Builders 51,Regional,Mumbai,Maharashtra
DEV0052,Urban Builders 52,Regional,Mumbai,Maharashtra
DEV0053,Urban Builders 53,Regional,Mumbai,Maharashtra
DEV0054,Urban Builders 54,Regional,Mumbai,Maharashtra
DEV0055,Urban Builders 55,Regional,Mumbai,Maharashtra
DEV0056,Urban Builders 56,Regional,Mumbai,Maharashtra
DEV0057,Urban Builders 57,Regional,Mumbai,Maharashtra
DEV0058,Urban Builders 58,Regional,Mumbai,Maharashtra
DEV0059,Urban Builders 59,Regional,Mumbai,Maharashtra
DEV0060,Urban Builders 60,Regional,Mumbai,Maharashtra
DEV0061,Urban Builders 61,Regional,Mumbai,Maharashtra
DEV0062,Urban Builders 62,Regional,Mumbai,Maharashtra
DEV0063,Urban Builders 63,Regional,Mumbai,Maharashtra
DEV0064,Urban Builders 64,Regional,Mumbai,Maharashtra
DEV0065,Urban Builders 65,Regional,Mumbai,Maharashtra
DEV0066,Urban Builders 66,Regional,Mumbai,Maharashtra
DEV0067,Urban Builders 67,Regional,Mumbai,Maharashtra
DEV0068,Urban Builders 68,Regional,Mumbai,Maharashtra
DEV0069,Urban Builders 69,Regional,Mumbai,Maharashtra
DEV0070,Urban Builders 70,Regional,Mumbai,Maharashtra
DEV0071,Urban Builders 71,Regional,Mumbai,Maharashtra
DEV0072,Urban Builders 72,Regional,Mumbai,Maharashtra
DEV0073,Urban Builders 73,Regional,Mumbai,Maharashtra
DEV0074,Urban Builders 74,Regional,Mumbai,Maharashtra
DEV0075,Urban Builders 75,Regional,Mumbai,Maharashtra
DEV0076,Urban Builders 76,Regional,Mumbai,Maharashtra
DEV0077,Urban Builders 77,Regional,Mumbai,Maharashtra
DEV0078,Urban Builders 78,Regional,Mumbai,Maharashtra
DEV0079,Urban Builders 79,Regional,Mumbai,Maharashtra
DEV0080,Urban Builders 80,Regional,Mumbai,Maharashtra
DEV0081,Urban Builders 81,Regional,Mumbai,Maharashtra
DEV0082,Urban Builders 82,Regional,Mumbai,Maharashtra
DEV0083,Urban Builders 83,Regional,Mumbai,Maharashtra
DEV0084,Urban Builders 84,Regional,Mumbai,Maharashtra
DEV0085,Urban Builders 85,Regional,Mumbai,Maharashtra
DEV0086,Urban Builders 86,Regional,Mumbai,Maharashtra
DEV0087,Urban Builders 87,Regional,Mumbai,Maharashtra
