Hospital_ID,Hospital_Name,Hospital_Type,Chain_Name,Ownership,State_ID,State_Name,City_ID,City_Name,Locality_ID,Locality_Name,Address,Pincode,Latitude,Longitude,Beds,ICU_Beds,Doctors,Nurses,Emergency,Trauma_Center,ICU,NICU,Blood_Bank,Pharmacy,Diagnostic_Lab,MRI,CT_Scan,Ambulance,NABH_Accredited,Cardiology,Neurology,Orthopedics,Oncology,Pediatrics,Gynecology,Dialysis,Rating,Reviews,Consultation_Fee,Annual_Patients,Established_Year,Website,Email,Phone,Quality_Index
HSP016351,Artemis Hospitals,Private Hospital,Artemis Hospitals,Government,UT001,Andaman and Nicobar Islands,C0128,Andaman City 128,L01659,Sector 4 Greens,"73
Walia",332013,30.039254,95.93208,684,107,162,380,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,3.2,332,1200,648236,2004,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,93.05
HSP016502,Artemis Hospitals,Super Speciality,Artemis Hospitals,Trust,UT001,Andaman and Nicobar Islands,C0128,Andaman City 128,L01662,Extension 139 Greens,"923
Kumar Chowk",366433,22.68816,88.736159,495,54,117,187,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,3.7,26241,2000,389828,1953,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,83.09
HSP011027,Aster DM Healthcare,Medical College,Aster DM Healthcare,Private,UT001,Andaman and Nicobar Islands,C0128,Andaman City 128,L01658,Phase 79 Paradise,"26/76
Sahota Circle",126369,19.421929,96.053938,788,69,135,328,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,3.4,22636,1500,626761,2009,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,67.86
HSP024645,BLK-Max Super Speciality Hospital,Super Speciality,BLK-Max Super Speciality Hospital,Government,UT001,Andaman and Nicobar Islands,C0128,Andaman City 128,L01661,Garden 100 Vista,"H.No. 00
Ratta Ganj",200383,35.811577,96.12983,1848,272,615,656,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,4.1,10084,400,50244,1967,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,77.95
HSP020264,Crystal Heart Institute,Children Hospital,Independent,Private,UT001,Andaman and Nicobar Islands,C0128,Andaman City 128,L01662,Extension 139 Greens,"928, Krishnan Ganj",366433,22.690282,88.729637,1373,150,249,816,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,4.2,20998,400,465224,2002,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,89.42
HSP016861,Crystal Super Speciality Hospital,Super Speciality,Independent,Private,UT001,Andaman and Nicobar Islands,C0128,Andaman City 128,L01659,Sector 4 Greens,"329, Sachar Street",332013,30.039943,95.934851,436,45,84,195,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,3.8,2935,400,603617,1967,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,95.73
HSP019064,Elite Heart Institute,Super Speciality,Independent,Trust,UT001,Andaman and Nicobar Islands,C0128,Andaman City 128,L01662,Extension 139 Greens,"H.No. 220, Borra Path",366433,22.690175,88.734221,727,119,188,425,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,3.6,14908,300,108476,1951,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,78.26
HSP011585,Green Cancer Centre,Medical College,Independent,Private,UT001,Andaman and Nicobar Islands,C0128,Andaman City 128,L01663,Park 60 Greens,"93/82, Bose",767481,9.10193,72.518699,673,61,159,446,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,3.6,25481,200,492638,2000,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,88.58
HSP017385,Health Medical Institute,Children Hospital,Independent,Government,UT001,Andaman and Nicobar Islands,C0128,Andaman City 128,L01664,Sector 124 Paradise,"84/54
Choudhary Ganj",637080,20.495112,74.363173,420,40,128,183,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.0,29951,200,86395,2015,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,95.86
HSP015023,Lotus Medical Institute,Cancer Hospital,Independent,Government,UT001,Andaman and Nicobar Islands,C0128,Andaman City 128,L01664,Sector 124 Paradise,"95/807, Bumb Nagar",637080,20.492215,74.361661,1773,155,387,824,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,3.2,5853,1000,642275,1963,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,76.47
