Locality_ID,City_ID,City_Name,State_Name,Locality_Name,Pincode,Latitude,Longitude,Zone,Distance_to_City_Center_km,Nearest_Metro,Metro_Distance_km,Nearest_Airport,Airport_Distance_km,Nearby_Hospital_Count,Nearby_School_Count,Nearby_College_Count,Nearby_Mall_Count,Nearby_Park_Count,Nearby_Restaurant_Count,Crime_Index,AQI_Index,Traffic_Index,Livability_Score,Infrastructure_Score,Investment_Score,Average_Property_Price_sqft,Average_Rent_sqft,Rental_Yield,Green_Cover_Percent,Water_Availability,Electricity_Reliability,Internet_Speed_Mbps,Flood_Risk,Noise_Level,Luxury_Locality,Smart_City_Area,Upcoming_Metro,Popular_For,Last_Updated
L00001,C0001,Visakhapatnam,Andhra Pradesh,Block 7 County,366788,14.473111,89.357665,Central,3.5,No,0.57,Yes,11.4,17,40,0,8,7,144,58,137,77,87,67,50,12263,116,4.04,15.11,Good,Average,114,Medium,Low,No,No,No,IT,2025-12-31
L00002,C0001,Visakhapatnam,Andhra Pradesh,Enclave 138 Greens,506923,10.285206,76.50217,Central,31.05,No,8.7,Yes,3.97,8,20,2,3,4,102,40,257,66,60,73,72,15530,76,6.21,49.43,Poor,Excellent,670,Low,High,Yes,Yes,No,Commercial,2025-12-31
L00003,C0001,Visakhapatnam,Andhra Pradesh,Layout 143 Vista,827871,17.404199,90.281094,North,8.4,Yes,12.1,No,13.51,7,38,10,3,16,106,87,259,38,66,58,65,38589,145,3.58,43.0,Excellent,Good,244,Low,High,No,Yes,Yes,IT,2025-12-31
L00004,C0001,Visakhapatnam,Andhra Pradesh,Phase 41 City,735381,9.842303,79.066959,West,18.75,Yes,10.24,Yes,31.31,18,19,20,5,4,80,60,105,78,50,96,96,19061,136,6.57,38.0,Poor,Excellent,325,High,High,Yes,Yes,No,Residential,2025-12-31
L00005,C0001,Visakhapatnam,Andhra Pradesh,Nagar 136 Heights,738039,17.400526,68.564826,East,30.82,No,3.67,Yes,39.75,3,7,15,1,18,37,21,268,90,60,66,83,41553,116,7.79,65.38,Average,Excellent,339,Medium,High,No,No,No,IT,2025-12-31
L00006,C0001,Visakhapatnam,Andhra Pradesh,Extension 58 Greens,464509,8.609994,84.063724,Central,8.1,Yes,10.65,Yes,11.84,2,23,2,8,8,76,90,273,47,84,58,96,39223,129,3.46,35.74,Excellent,Average,116,Low,High,No,No,No,Commercial,2025-12-31
L00007,C0001,Visakhapatnam,Andhra Pradesh,Enclave 14 Greens,173557,19.676017,77.839776,North,9.08,Yes,8.09,Yes,20.14,9,31,7,1,15,145,17,50,89,50,55,98,17291,50,4.44,36.29,Excellent,Average,188,Medium,Low,No,No,No,Luxury,2025-12-31
L00008,C0001,Visakhapatnam,Andhra Pradesh,Garden 143 Township,272317,13.507038,74.313326,North,20.48,Yes,11.24,Yes,4.16,16,34,16,2,2,135,15,120,28,88,54,93,17214,111,2.72,62.87,Average,Excellent,628,Low,High,Yes,No,No,Luxury,2025-12-31
L00009,C0001,Visakhapatnam,Andhra Pradesh,Extension 81 Vista,388518,19.47779,87.479016,East,16.27,Yes,0.24,Yes,5.15,7,34,8,2,12,22,36,214,56,60,78,84,21625,143,2.05,58.11,Good,Excellent,126,Low,Medium,Yes,Yes,Yes,Luxury,2025-12-31
L00010,C0001,Visakhapatnam,Andhra Pradesh,Layout 54 Paradise,323488,27.937417,92.734472,Central,17.35,Yes,1.48,No,37.66,2,2,10,12,5,72,25,251,90,95,77,85,2433,36,2.45,62.4,Average,Excellent,56,Medium,High,Yes,No,Yes,IT,2025-12-31
L00011,C0001,Visakhapatnam,Andhra Pradesh,Layout 94 Heights,485191,14.09222,75.236362,North,12.7,No,14.61,Yes,41.81,8,12,5,6,1,50,47,235,51,67,60,94,8884,105,7.23,60.81,Average,Average,856,Medium,Medium,No,Yes,Yes,IT,2025-12-31
L00012,C0001,Visakhapatnam,Andhra Pradesh,Extension 103 Paradise,402137,33.066235,96.039784,East,12.61,No,10.22,No,42.39,4,18,5,9,9,14,18,330,75,72,96,70,30399,138,2.69,63.47,Average,Good,65,High,Medium,Yes,Yes,No,Commercial,2025-12-31
L00013,C0001,Visakhapatnam,Andhra Pradesh,Block 85 Gardens,439165,27.238237,71.614134,East,18.0,No,4.96,No,25.84,7,28,12,10,6,150,43,232,90,50,69,68,15574,118,6.71,44.43,Good,Good,472,Medium,High,Yes,No,Yes,Tourism,2025-12-31
L00014,C0001,Visakhapatnam,Andhra Pradesh,Block 73 Enclave,806102,26.355285,77.720459,South,23.71,Yes,12.12,Yes,3.05,8,32,19,12,3,121,58,347,93,62,95,94,26964,134,4.4,14.59,Poor,Average,817,Medium,Low,Yes,No,Yes,Education,2025-12-31
L00015,C0001,Visakhapatnam,Andhra Pradesh,Extension 32 Township,249817,31.241081,87.359754,Central,21.04,No,9.23,No,37.71,18,30,5,11,16,120,38,151,55,99,99,83,33558,69,3.65,10.04,Good,Average,298,Medium,Medium,Yes,Yes,Yes,Residential,2025-12-31
L00016,C0001,Visakhapatnam,Andhra Pradesh,Garden 40 Vista,177349,20.031169,77.59556,West,14.84,Yes,12.51,No,40.91,19,3,18,6,16,6,50,177,69,76,84,97,37591,64,4.93,22.74,Excellent,Average,418,Medium,High,No,Yes,No,Residential,2025-12-31
L00017,C0001,Visakhapatnam,Andhra Pradesh,Park 137 Heights,523161,25.16489,87.226993,North,22.67,Yes,13.02,Yes,4.16,13,22,6,7,11,91,53,167,73,66,55,80,3070,146,2.31,66.87,Average,Excellent,90,High,Low,Yes,Yes,Yes,IT,2025-12-31
L00018,C0001,Visakhapatnam,Andhra Pradesh,Park 40 Vista,242353,21.733271,71.317294,South,16.54,No,11.53,Yes,28.05,24,9,5,4,4,11,44,319,68,75,95,62,6780,70,2.61,55.21,Poor,Excellent,821,Low,Medium,No,No,Yes,Education,2025-12-31
L00019,C0002,Vijayawada,Andhra Pradesh,Colony 4 City,972277,22.215849,80.572179,East,22.43,No,10.64,No,9.57,17,19,19,12,18,128,64,248,95,67,70,65,7479,79,7.29,20.85,Excellent,Excellent,644,High,Medium,No,Yes,No,Luxury,2025-12-31
L00020,C0002,Vijayawada,Andhra Pradesh,Phase 125 Vista,482061,31.137138,77.869826,Central,24.69,No,8.38,Yes,5.68,24,28,15,8,8,126,87,276,77,51,55,68,16322,111,6.15,24.9,Good,Good,586,High,Medium,No,No,No,Tourism,2025-12-31
L00021,C0002,Vijayawada,Andhra Pradesh,Enclave 70 County,373616,14.685603,88.917246,East,4.62,Yes,2.95,No,13.89,19,35,19,4,4,54,42,141,66,61,69,50,36805,40,3.65,68.33,Good,Excellent,986,Low,High,No,Yes,Yes,Education,2025-12-31
