Metro_ID,Station_Name,Metro_Line,State_Name,City_Name,Locality_Name,Latitude,Longitude,Platform_Count,Interchange,Parking,Lift,Escalator,Disabled_Access,Daily_Footfall,Opening_Year,Operator,Nearby_Bus_Stop,Nearby_Railway_Station_km,Nearby_Airport_km,Nearby_Mall_km,Nearby_Hospital_km,Nearby_School_km,Nearby_IT_Park_km,Property_Price_Impact,Smart_City_Area,Zone
MET000001,Sector 74,Yellow Line,Tamil Nadu,Chennai,Sector 67,9.553691,78.84818,3,Yes,No,Yes,Yes,Yes,221527,2021,CMRL,Yes,2.82,31.65,1.32,2.62,5.0,7.58,Medium,No,East
MET000002,Park 54,Pink Line,Delhi,New Delhi,Sector 46,12.889634,83.011481,5,No,No,Yes,Yes,No,110698,2022,DMRC,Yes,5.55,7.42,5.54,4.23,4.61,19.04,Medium,No,Central
MET000003,Lake 55,Red Line,Tamil Nadu,Chennai,Sector 78,26.216668,75.417577,6,No,Yes,Yes,Yes,Yes,93552,2006,CMRL,Yes,9.91,32.93,0.27,2.47,3.84,19.87,Low,Yes,East
MET000004,Lake 26,Red Line,Tamil Nadu,Chennai,Sector 12,23.928839,77.939276,2,No,No,Yes,Yes,No,232601,2005,CMRL,Yes,4.55,30.18,2.32,4.99,4.62,8.56,Low,Yes,South
MET000005,City 99,Green Line,Delhi,New Delhi,Sector 25,22.803628,79.522842,5,Yes,No,Yes,Yes,Yes,75471,2018,DMRC,Yes,9.74,23.88,7.87,4.17,4.42,7.47,Low,Yes,East
MET000006,Park 5,Green Line,Delhi,New Delhi,Sector 63,20.266176,85.235996,4,No,Yes,Yes,Yes,Yes,109328,2003,DMRC,Yes,8.77,26.23,1.36,2.72,1.61,13.15,Medium,No,Central
MET000007,Park 86,Purple Line,Karnataka,Bengaluru,Sector 33,21.11708,80.642135,3,Yes,No,Yes,Yes,Yes,67796,2017,BMRCL,Yes,0.32,10.5,1.75,0.42,2.43,6.32,High,Yes,South
MET000008,Market 23,Yellow Line,Delhi,New Delhi,Sector 73,12.251379,83.105013,6,Yes,No,Yes,Yes,Yes,163314,2018,DMRC,Yes,1.47,19.78,5.79,2.76,1.16,9.21,Low,No,Central
MET000009,Sector 28,Pink Line,Telangana,Hyderabad,Sector 40,11.936296,81.205692,3,Yes,Yes,Yes,Yes,No,209754,2019,HMRL,Yes,7.95,5.25,1.35,3.13,1.87,9.99,Medium,Yes,South
MET000010,Sector 49,Green Line,Telangana,Hyderabad,Sector 2,26.055803,81.146207,4,No,Yes,Yes,Yes,No,170748,2014,HMRL,Yes,8.86,26.21,2.37,1.67,0.27,13.32,Medium,No,North
MET000011,Sector 96,Orange Line,Maharashtra,Mumbai,Sector 74,14.333678,87.540158,5,Yes,Yes,Yes,Yes,Yes,194235,2024,MMRC,Yes,6.48,17.31,4.2,1.27,4.96,11.74,Medium,Yes,North
MET000012,Market 99,Blue Line,Delhi,New Delhi,Sector 2,20.155964,72.876745,6,Yes,Yes,Yes,Yes,No,242652,2010,DMRC,Yes,7.84,29.85,0.21,1.62,3.6,7.0,High,No,West
