School_ID,School_Name,City_ID,City_Name,State_Name,Locality_ID,Locality_Name,School_Type,Board,Management,Established_Year,Rating,Green_School,Campus_Area_Acres,Student_Count,Teacher_Count,Student_Teacher_Ratio,Annual_Fees_INR,Transport,Hostel,Smart_Classrooms,Sports_Complex,Swimming_Pool,Robotics_Lab,Science_Lab,Computer_Lab,Library,CCTV,GPS_Bus,Nearby_Metro,Distance_to_Metro_km,Latitude,Longitude,Website,Last_Updated
S00001,Delhi Public World School,C0690,Telangana City 690,Telangana,L08995,Nagar 41 Residency,Boarding,ICSE,Government,1967,4.3,Yes,24.03,3294,183,18.0,31663,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,14.02,16.781924,73.246211,https://school1.edu.in,2025-12-31
S00002,Modern Public School,C0302,Uttar City 302,Uttar Pradesh,L03938,Extension 3 Paradise,Kendriya Vidyalaya,CBSE,Government,1998,2.7,No,24.55,2461,107,23.0,438167,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,19.71,29.500265,87.13297,https://school2.edu.in,2025-12-31
S00003,Green Valley Academy,C0678,West City 678,West Bengal,L08832,Garden 45 Vista,Boarding,State Board,Trust,1996,2.9,No,9.17,5236,238,22.0,154973,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,16.14,24.786654,92.328633,https://school3.edu.in,2025-12-31
S00004,Scholars Public School,C0830,Sikkim City 830,Sikkim,L10852,Sector 83 Greens,Kendriya Vidyalaya,ICSE,Trust,2013,3.5,No,6.57,2806,122,23.0,88206,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,12.62,29.211702,86.344608,https://school4.edu.in,2025-12-31
S00005,Scholars Academy,C0733,Kerala City 733,Kerala,L09543,Enclave 11 Greens,Jawahar Navodaya Vidyalaya,IB,Private,2017,3.1,Yes,27.53,6216,222,28.0,75058,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,16.87,8.911304,71.709256,https://school5.edu.in,2025-12-31
S00006,Bright Future Public School,C0575,Karnataka City 575,Karnataka,L07511,Colony 67 Enclave,Kendriya Vidyalaya,Cambridge,Government,2019,4.9,Yes,24.36,5066,149,34.0,271170,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,2.74,32.269628,84.375355,https://school6.edu.in,2025-12-31
S00007,Sunrise International School,C0330,Assam City 330,Assam,L04287,Colony 101 Greens,Jawahar Navodaya Vidyalaya,ICSE,Trust,1975,4.3,No,39.81,4512,141,32.0,355723,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1.61,18.074921,96.568656,https://school7.edu.in,2025-12-31
S00008,National School,C0080,Chennai,Tamil Nadu,L01029,OMR,Government,Cambridge,Private,1959,3.8,No,27.09,2896,181,16.0,127321,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,9.45,8.079471,81.408451,https://school8.edu.in,2025-12-31
S00009,Green Valley School,C0767,Lakshadweep City 767,Lakshadweep,L10025,Phase 54 County,Jawahar Navodaya Vidyalaya,IGCSE,Private,1963,3.1,Yes,21.92,3296,206,16.0,88495,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.49,18.294734,90.799707,https://school9.edu.in,2025-12-31
S00010,Bright Future Academy,C0427,Tamil City 427,Tamil Nadu,L05532,Nagar 91 Residency,Government,ICSE,Private,1950,5.0,No,37.13,4320,144,30.0,426633,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,1.19,11.098538,71.897805,https://school10.edu.in,2025-12-31
