Mall_ID,Mall_Name,State_Name,City_Name,Locality_Name,Mall_Type,Floors,Total_Shops,Parking_Capacity,Food_Court,Multiplex,Hypermarket,Rating,Reviews,Opening_Year
MALL000001,Ambience Mall,Delhi,New Delhi,Sector 39,Luxury,6,361,2196,No,Yes,No,4.8,29349,2014
MALL000002,Urban Galleria,Tamil Nadu,Chennai,Sector 30,Luxury,4,442,2461,No,No,Yes,4.2,19211,2000
MALL000003,Urban Galleria,Maharashtra,Pune,Sector 7,Luxury,5,171,1881,Yes,Yes,Yes,4.4,3965,2003
MALL000004,Grand Square Mall,Tamil Nadu,Chennai,Sector 59,Community,6,168,2130,No,No,No,4.4,36577,2021
MALL000005,Grand Square Mall,Telangana,Hyderabad,Sector 51,Community,8,494,2223,Yes,Yes,Yes,3.8,25129,2000
MALL000006,Urban Galleria,Maharashtra,Pune,Sector 60,Regional,2,436,2442,No,No,Yes,4.1,30182,2009
MALL000007,Metro Plaza,Delhi,New Delhi,Sector 2,Luxury,8,156,2585,No,Yes,Yes,4.7,2870,2004
MALL000008,Urban Galleria,Telangana,Hyderabad,Sector 6,Luxury,4,482,1403,No,No,Yes,4.3,22545,2006
MALL000009,Urban Galleria,Karnataka,Bengaluru,Sector 35,Luxury,8,361,615,Yes,Yes,No,4.0,49880,2018
MALL000010,Urban Galleria,Tamil Nadu,Chennai,Sector 3,Regional,2,373,1546,Yes,Yes,Yes,4.5,5412,2017
MALL000011,City Centre Mall,Karnataka,Bengaluru,Sector 25,Regional,6,336,2863,No,No,Yes,4.3,13296,2006
MALL000012,City Centre Mall,Tamil Nadu,Chennai,Sector 43,Regional,3,151,1370,Yes,Yes,Yes,4.1,48912,2019
MALL000013,Urban Galleria,Tamil Nadu,Chennai,Sector 36,Luxury,3,422,885,Yes,No,No,4.4,1390,2014
MALL000014,Grand Square Mall,Karnataka,Bengaluru,Sector 12,Premium,5,499,1470,No,No,Yes,4.7,7073,2018
MALL000015,City Centre Mall,Tamil Nadu,Chennai,Sector 9,Regional,4,424,2854,Yes,Yes,Yes,3.7,32475,2023
MALL000016,Grand Square Mall,Tamil Nadu,Chennai,Sector 2,Luxury,5,122,2214,No,No,No,4.4,24365,2014
MALL000017,Metro Plaza,Delhi,New Delhi,Sector 16,Community,5,221,2500,No,Yes,No,4.9,24628,2000
MALL000018,Royal Mall,Delhi,New Delhi,Sector 72,Premium,4,291,1456,Yes,Yes,No,4.6,15431,2014
MALL000019,City Centre Mall,Telangana,Hyderabad,Sector 11,Luxury,2,228,2122,No,Yes,No,3.7,38564,2020
MALL000020,Lulu Mall,Delhi,New Delhi,Sector 56,Regional,4,347,949,Yes,Yes,Yes,4.3,9104,2023
MALL000021,City Centre Mall,Delhi,New Delhi,Sector 75,Premium,2,84,923,Yes,No,Yes,4.1,6037,2010
MALL000022,Grand Square Mall,Delhi,New Delhi,Sector 24,Premium,6,147,2347,Yes,No,Yes,5.0,19544,2009
MALL000023,Grand Square Mall,Karnataka,Bengaluru,Sector 32,Premium,7,114,1519,Yes,Yes,No,4.7,41834,2016
MALL000024,Urban Galleria,Telangana,Hyderabad,Sector 13,Luxury,2,431,589,Yes,No,Yes,4.7,47460,2003
MALL000025,Lulu Mall,Karnataka,Bengaluru,Sector 66,Premium,8,358,655,No,Yes,No,4.8,28174,2018
MALL000026,Metro Plaza,Telangana,Hyderabad,Sector 50,Luxury,6,245,1116,No,No,No,4.9,28422,2000
