column,dtype,rows,missing_count,missing_percentage,unique_values,duplicate_values
mreid_id,str,29135,0,0.0,29135,0
price,int64,29135,0,0.0,4924,24211
area,int64,29135,0,0.0,2452,26683
location,string,29135,0,0.0,1776,27359
no_of_bedrooms,int64,29135,0,0.0,9,29126
resale,int64,29135,0,0.0,2,29133
maintenancestaff,int64,29135,0,0.0,3,29132
gymnasium,int64,29135,0,0.0,3,29132
swimmingpool,int64,29135,0,0.0,3,29132
landscapedgardens,int64,29135,0,0.0,3,29132
joggingtrack,int64,29135,0,0.0,3,29132
rainwaterharvesting,int64,29135,0,0.0,3,29132
indoorgames,int64,29135,0,0.0,3,29132
shoppingmall,int64,29135,0,0.0,3,29132
intercom,int64,29135,0,0.0,3,29132
sportsfacility,int64,29135,0,0.0,3,29132
atm,int64,29135,0,0.0,3,29132
clubhouse,int64,29135,0,0.0,3,29132
school,int64,29135,0,0.0,3,29132
24x7security,int64,29135,0,0.0,3,29132
powerbackup,int64,29135,0,0.0,3,29132
carparking,int64,29135,0,0.0,3,29132
staffquarter,int64,29135,0,0.0,3,29132
cafeteria,int64,29135,0,0.0,3,29132
multipurposeroom,int64,29135,0,0.0,3,29132
hospital,int64,29135,0,0.0,3,29132
washingmachine,int64,29135,0,0.0,3,29132
gasconnection,int64,29135,0,0.0,3,29132
ac,int64,29135,0,0.0,3,29132
wifi,int64,29135,0,0.0,3,29132
children_splayarea,int64,29135,0,0.0,3,29132
liftavailable,int64,29135,0,0.0,3,29132
bed,int64,29135,0,0.0,3,29132
vaastucompliant,int64,29135,0,0.0,3,29132
microwave,int64,29135,0,0.0,3,29132
golfcourse,int64,29135,0,0.0,3,29132
tv,int64,29135,0,0.0,3,29132
diningtable,int64,29135,0,0.0,3,29132
sofa,int64,29135,0,0.0,3,29132
wardrobe,int64,29135,0,0.0,3,29132
refrigerator,int64,29135,0,0.0,3,29132
source_city,string,29135,0,0.0,6,29129
source_file,string,29135,0,0.0,6,29129
derived_price_per_sqft,float64,29135,0,0.0,20519,8616
