column,dtype,rows,missing_count,missing_percentage,unique_values,duplicate_values
price,int64,32963,0,0.0,4924,28039
area,int64,32963,0,0.0,2452,30511
location,str,32963,0,0.0,1776,31187
no_of_bedrooms,int64,32963,0,0.0,9,32954
resale,int64,32963,0,0.0,2,32961
maintenancestaff,int64,32963,0,0.0,3,32960
gymnasium,int64,32963,0,0.0,3,32960
swimmingpool,int64,32963,0,0.0,3,32960
landscapedgardens,int64,32963,0,0.0,3,32960
joggingtrack,int64,32963,0,0.0,3,32960
rainwaterharvesting,int64,32963,0,0.0,3,32960
indoorgames,int64,32963,0,0.0,3,32960
shoppingmall,int64,32963,0,0.0,3,32960
intercom,int64,32963,0,0.0,3,32960
sportsfacility,int64,32963,0,0.0,3,32960
atm,int64,32963,0,0.0,3,32960
clubhouse,int64,32963,0,0.0,3,32960
school,int64,32963,0,0.0,3,32960
24x7security,int64,32963,0,0.0,3,32960
powerbackup,int64,32963,0,0.0,3,32960
carparking,int64,32963,0,0.0,3,32960
staffquarter,int64,32963,0,0.0,3,32960
cafeteria,int64,32963,0,0.0,3,32960
multipurposeroom,int64,32963,0,0.0,3,32960
hospital,int64,32963,0,0.0,3,32960
washingmachine,int64,32963,0,0.0,3,32960
gasconnection,int64,32963,0,0.0,3,32960
ac,int64,32963,0,0.0,3,32960
wifi,int64,32963,0,0.0,3,32960
children_splayarea,int64,32963,0,0.0,3,32960
liftavailable,int64,32963,0,0.0,3,32960
bed,int64,32963,0,0.0,3,32960
vaastucompliant,int64,32963,0,0.0,3,32960
microwave,int64,32963,0,0.0,3,32960
golfcourse,int64,32963,0,0.0,3,32960
tv,int64,32963,0,0.0,3,32960
diningtable,int64,32963,0,0.0,3,32960
sofa,int64,32963,0,0.0,3,32960
wardrobe,int64,32963,0,0.0,3,32960
refrigerator,int64,32963,0,0.0,3,32960
source_city,str,32963,0,0.0,6,32957
source_file,str,32963,0,0.0,6,32957
