model,MAE,RMSE,R2,MAPE_percent,feature_group,n_features,training_rows,testing_rows
Linear Regression,8772048.195120974,26570572.677961573,0.048811563906603794,105.12393533865219,structural_only,2,23308,5827
Decision Tree,9116923.900243718,30311288.59015701,-0.23786570461020218,103.44208074810075,structural_only,2,23308,5827
Random Forest,9078041.017932722,28106447.438029785,-0.06433083249164828,104.55924142775534,structural_only,2,23308,5827
Gradient Boosting,8749560.878448924,27238755.15459681,0.00037008641347224813,107.82938232945124,structural_only,2,23308,5827
Linear Regression,8639696.681959478,26512365.82120969,0.05297444336408785,103.69786055840598,structural_property,3,23308,5827
Decision Tree,9193571.398663444,30806490.85067344,-0.27864267138768195,100.29438964355353,structural_property,3,23308,5827
Random Forest,9138749.240374723,28683369.70908337,-0.1084728833465276,102.97648158174349,structural_property,3,23308,5827
Gradient Boosting,8556554.109670375,27105251.569442004,0.010144918727472696,104.30720272249697,structural_property,3,23308,5827
Linear Regression,8606154.83432961,26477447.80178661,0.05546735409013859,104.68232939480325,structural_property_amenity,39,23308,5827
Decision Tree,8959690.48731618,31175695.569994293,-0.30947447049796684,97.63026739237147,structural_property_amenity,39,23308,5827
Random Forest,8713474.188625034,28595311.28118992,-0.10167726988099912,98.35554471565742,structural_property_amenity,39,23308,5827
Gradient Boosting,8365911.422971203,26756358.268944457,0.03546334407885521,101.4555432448399,structural_property_amenity,39,23308,5827
Linear Regression,7938861.56831688,25542280.1549689,0.1210097453427369,90.52206649813635,full,41,23308,5827
Decision Tree,7713474.179898313,27642084.681817766,-0.029452513207519182,80.60383593109802,full,41,23308,5827
Random Forest,7363072.077958214,25918634.90386814,0.09491580670383637,74.89152702368105,full,41,23308,5827
Gradient Boosting,7839960.677470025,25097987.51391629,0.15132280990585534,95.40088260628504,full,41,23308,5827
