column,dtype,missing,missing_percentage,unique
mreid_id,str,0,0.0,29135
price,int64,0,0.0,4924
area,int64,0,0.0,2452
location,str,0,0.0,1776
no_of_bedrooms,int64,0,0.0,9
resale,int64,0,0.0,2
maintenancestaff,int64,0,0.0,3
gymnasium,int64,0,0.0,3
swimmingpool,int64,0,0.0,3
landscapedgardens,int64,0,0.0,3
joggingtrack,int64,0,0.0,3
rainwaterharvesting,int64,0,0.0,3
indoorgames,int64,0,0.0,3
shoppingmall,int64,0,0.0,3
intercom,int64,0,0.0,3
sportsfacility,int64,0,0.0,3
atm,int64,0,0.0,3
clubhouse,int64,0,0.0,3
school,int64,0,0.0,3
24x7security,int64,0,0.0,3
powerbackup,int64,0,0.0,3
carparking,int64,0,0.0,3
staffquarter,int64,0,0.0,3
cafeteria,int64,0,0.0,3
multipurposeroom,int64,0,0.0,3
hospital,int64,0,0.0,3
washingmachine,int64,0,0.0,3
gasconnection,int64,0,0.0,3
ac,int64,0,0.0,3
wifi,int64,0,0.0,3
children_splayarea,int64,0,0.0,3
liftavailable,int64,0,0.0,3
bed,int64,0,0.0,3
vaastucompliant,int64,0,0.0,3
microwave,int64,0,0.0,3
golfcourse,int64,0,0.0,3
tv,int64,0,0.0,3
diningtable,int64,0,0.0,3
sofa,int64,0,0.0,3
wardrobe,int64,0,0.0,3
refrigerator,int64,0,0.0,3
source_city,str,0,0.0,6
source_file,str,0,0.0,6
derived_price_per_sqft,float64,0,0.0,20519
